"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13656","@Web Client App login for Adidas Orignals","","Mon Feb 28 22:55:01 GMT+07:00 2022","passed","Mon Feb 28 22:55:14 GMT+07:00 2022","","ClientAppPO.spec.js","",""
"","13947","@Web Client App login for Zara Coat 4","","Mon Feb 28 22:54:47 GMT+07:00 2022","passed","Mon Feb 28 22:55:01 GMT+07:00 2022","","ClientAppPO.spec.js","",""
"","8282","@Web Browser Context-Validating Error login","","Mon Feb 28 22:54:47 GMT+07:00 2022","passed","Mon Feb 28 22:54:55 GMT+07:00 2022","","UIBasicstest.spec.js","",""
"","2344","@Web UI Controls","","Mon Feb 28 22:54:55 GMT+07:00 2022","passed","Mon Feb 28 22:54:57 GMT+07:00 2022","","UIBasicstest.spec.js","",""
"","8731","@Web Popup validations","","Mon Feb 28 22:54:47 GMT+07:00 2022","passed","Mon Feb 28 22:54:55 GMT+07:00 2022","","MoreValidations.spec.js","",""
